时间,PID,CPU(%),MEM(%)
2024-05-05 17:30:32,8498, 2.2, 0.3
2024-05-05 17:30:32,8511, 2.7, 0.6
2024-05-05 17:30:32,8516, 2.6, 0.4
2024-05-05 17:30:32,8530, 2.5, 0.5
2024-05-05 17:30:32,8541, 2.5, 0.5
2024-05-05 17:30:32,8549, 2.5, 0.5
2024-05-05 17:30:32,8557, 2.6, 0.5
2024-05-05 17:30:33,33315, 3.0, 4.7
2024-05-05 17:30:33,8498, 2.2, 0.3
2024-05-05 17:30:33,8511, 2.7, 0.6
2024-05-05 17:30:33,8516, 2.6, 0.4
2024-05-05 17:30:33,8530, 2.5, 0.5
2024-05-05 17:30:33,8541, 2.5, 0.5
2024-05-05 17:30:33,8549, 2.5, 0.5
2024-05-05 17:30:33,8557, 2.6, 0.5
2024-05-05 17:30:33,33315, 3.0, 4.7
2024-05-05 17:30:33,8498, 2.2, 0.3
2024-05-05 17:30:33,8511, 2.7, 0.6
2024-05-05 17:30:33,8516, 2.6, 0.4
2024-05-05 17:30:33,8530, 2.5, 0.5
2024-05-05 17:30:33,8541, 2.5, 0.5
2024-05-05 17:30:33,8549, 2.5, 0.5
2024-05-05 17:30:33,8557, 2.6, 0.5
2024-05-05 17:30:33,33315, 3.0, 4.7
2024-05-05 17:30:33,8498, 2.2, 0.3
2024-05-05 17:30:33,8511, 2.7, 0.6
2024-05-05 17:30:33,8516, 2.6, 0.4
2024-05-05 17:30:33,8530, 2.5, 0.5
2024-05-05 17:30:33,8541, 2.5, 0.5
2024-05-05 17:30:33,8549, 2.5, 0.5
2024-05-05 17:30:33,8557, 2.6, 0.5
2024-05-05 17:30:33,33315, 3.0, 4.7
2024-05-05 17:30:33,8498, 2.2, 0.3
2024-05-05 17:30:33,8511, 2.7, 0.6
2024-05-05 17:30:33,8516, 2.6, 0.4
2024-05-05 17:30:33,8530, 2.5, 0.5
2024-05-05 17:30:33,8541, 2.5, 0.5
2024-05-05 17:30:33,8549, 2.5, 0.5
2024-05-05 17:30:33,8557, 2.6, 0.5
2024-05-05 17:30:34,33315, 3.0, 4.7
2024-05-05 17:30:34,8498, 2.2, 0.3
2024-05-05 17:30:34,8511, 2.7, 0.6
2024-05-05 17:30:34,8516, 2.6, 0.4
2024-05-05 17:30:34,8530, 2.5, 0.5
2024-05-05 17:30:34,8541, 2.5, 0.5
2024-05-05 17:30:34,8549, 2.5, 0.5
2024-05-05 17:30:34,8557, 2.6, 0.5
2024-05-05 17:30:34,33315, 3.0, 4.7
2024-05-05 17:30:34,8498, 2.2, 0.3
2024-05-05 17:30:34,8511, 2.7, 0.6
2024-05-05 17:30:34,8516, 2.6, 0.4
2024-05-05 17:30:34,8530, 2.5, 0.5
2024-05-05 17:30:34,8541, 2.5, 0.5
2024-05-05 17:30:34,8549, 2.5, 0.5
2024-05-05 17:30:34,8557, 2.6, 0.5
2024-05-05 17:30:34,33315, 3.0, 4.7
2024-05-05 17:30:34,8498, 2.2, 0.3
2024-05-05 17:30:34,8511, 2.7, 0.6
2024-05-05 17:30:34,8516, 2.6, 0.4
2024-05-05 17:30:34,8530, 2.5, 0.5
2024-05-05 17:30:34,8541, 2.5, 0.5
2024-05-05 17:30:34,8549, 2.5, 0.5
2024-05-05 17:30:34,8557, 2.6, 0.5
2024-05-05 17:30:34,33315, 3.0, 4.7
2024-05-05 17:30:34,8498, 2.2, 0.3
2024-05-05 17:30:34,8511, 2.7, 0.6
2024-05-05 17:30:34,8516, 2.6, 0.4
2024-05-05 17:30:34,8530, 2.5, 0.5
2024-05-05 17:30:34,8541, 2.5, 0.5
2024-05-05 17:30:34,8549, 2.5, 0.5
2024-05-05 17:30:34,8557, 2.6, 0.5
2024-05-05 17:30:35,33315, 3.0, 4.7
2024-05-05 17:30:35,8498, 2.2, 0.3
2024-05-05 17:30:35,8511, 2.7, 0.6
2024-05-05 17:30:35,8516, 2.6, 0.4
2024-05-05 17:30:35,8530, 2.5, 0.5
2024-05-05 17:30:35,8541, 2.5, 0.5
2024-05-05 17:30:35,8549, 2.5, 0.5
2024-05-05 17:30:35,8557, 2.6, 0.5
2024-05-05 17:30:35,33315, 3.0, 4.7
2024-05-05 17:30:35,8498, 2.2, 0.3
2024-05-05 17:30:35,8511, 2.7, 0.6
2024-05-05 17:30:35,8516, 2.6, 0.4
2024-05-05 17:30:35,8530, 2.5, 0.5
2024-05-05 17:30:35,8541, 2.5, 0.5
2024-05-05 17:30:35,8549, 2.5, 0.5
2024-05-05 17:30:35,8557, 2.6, 0.5
2024-05-05 17:30:35,33315, 3.0, 4.7
2024-05-05 17:30:35,8498, 2.2, 0.3
2024-05-05 17:30:35,8511, 2.7, 0.6
2024-05-05 17:30:35,8516, 2.6, 0.4
2024-05-05 17:30:35,8530, 2.5, 0.5
2024-05-05 17:30:35,8541, 2.5, 0.5
